Narrativa_IA;Mês;Nome Grupo;cc_nome;Realizado
Em Ago, o grupo 'RECEITAS S/ VENDAS' registrou um valor de R$ 63.713 referente ao item 'DINHEIRO'.;Ago;RECEITAS S/ VENDAS;DINHEIRO;R$ 63.713
Em Ago, o grupo 'RECEITAS S/ VENDAS' registrou um valor de R$ 19.348 referente ao item 'IFOOD'.;Ago;RECEITAS S/ VENDAS;IFOOD;R$ 19.348
Em Out, o grupo 'RECEITAS S/ VENDAS' registrou um valor de R$ 5 referente ao item 'IFOOD'.;Out;RECEITAS S/ VENDAS;IFOOD;R$ 5
Em Dez, o grupo '( - ) CUSTOS VARIÁVEIS' registrou um valor de R$ 1.596 referente ao item 'MATERIA PRIMA' (Subcategoria: VENDAS INTERCOMPANY).;Dez;( - ) CUSTOS VARIÁVEIS;MATERIA PRIMA;R$ 1.596
Em Set, o grupo 'RECEITAS S/ VENDAS' registrou um valor de R$ 18.515 referente ao item 'ROYALTES USO MARCA'.;Set;RECEITAS S/ VENDAS;ROYALTES USO MARCA;R$ 18.515
Em Dez, o grupo 'RECEITAS S/ VENDAS' registrou um valor de R$ 64.081 referente ao item 'TED/DOC'.;Dez;RECEITAS S/ VENDAS;TED/DOC;R$ 64.081
Em Nov, o grupo 'RECEITAS S/ VENDAS' registrou um valor de R$ 35.652 referente ao item 'TED/DOC'.;Nov;RECEITAS S/ VENDAS;TED/DOC;R$ 35.652
Em Jun, o grupo 'RECEITAS S/ VENDAS' registrou um valor de R$ 20.180 referente ao item 'TED/DOC'.;Jun;RECEITAS S/ VENDAS;TED/DOC;R$ 20.180
Em Set, o grupo 'RECEITAS S/ VENDAS' registrou um valor de R$ 13.965 referente ao item 'TED/DOC'.;Set;RECEITAS S/ VENDAS;TED/DOC;R$ 13.965
Em Ago, o grupo 'RECEITAS S/ VENDAS' registrou um valor de R$ 9.667 referente ao item 'TED/DOC'.;Ago;RECEITAS S/ VENDAS;TED/DOC;R$ 9.667
Em Fev, o grupo 'RECEITAS S/ VENDAS' registrou um valor de R$ 3.500 referente ao item 'TED/DOC'.;Fev;RECEITAS S/ VENDAS;TED/DOC;R$ 3.500
Em Out, o grupo 'RECEITAS S/ VENDAS' registrou um valor de R$ 2.007 referente ao item 'TED/DOC'.;Out;RECEITAS S/ VENDAS;TED/DOC;R$ 2.007
Em Nov, o grupo '( - ) CUSTOS VARIÁVEIS' registrou um valor de -R$ 1.351 referente ao item 'BOVINOS' (Subcategoria: PROTEINAS).;Nov;( - ) CUSTOS VARIÁVEIS;BOVINOS;-R$ 1.351
Em Ago, o grupo '( - ) CUSTOS VARIÁVEIS' registrou um valor de -R$ 44 referente ao item 'AVES' (Subcategoria: PROTEINAS).;Ago;( - ) CUSTOS VARIÁVEIS;AVES;-R$ 44
Em Nov, o grupo '( - ) CUSTOS VARIÁVEIS' registrou um valor de -R$ 300 referente ao item 'SUINOS' (Subcategoria: PROTEINAS).;Nov;( - ) CUSTOS VARIÁVEIS;SUINOS;-R$ 300
Em Nov, o grupo '( - ) CUSTOS VARIÁVEIS' registrou um valor de -R$ 990 referente ao item 'QUEIJOS' (Subcategoria: ITENS CARDAPIO).;Nov;( - ) CUSTOS VARIÁVEIS;QUEIJOS;-R$ 990
Em Dez, o grupo '( - ) CUSTOS VARIÁVEIS' registrou um valor de -R$ 69 referente ao item 'SOBREMESAS' (Subcategoria: ITENS CARDAPIO).;Dez;( - ) CUSTOS VARIÁVEIS;SOBREMESAS;-R$ 69
Em Jun, o grupo '( - ) CUSTOS VARIÁVEIS' registrou um valor de -R$ 7 referente ao item 'EMBALAGENS' (Subcategoria: ITENS CARDAPIO).;Jun;( - ) CUSTOS VARIÁVEIS;EMBALAGENS;-R$ 7
Em Dez, o grupo '( - ) CUSTOS VARIÁVEIS' registrou um valor de -R$ 70 referente ao item 'CACHAÇA' (Subcategoria: BEBIDAS ALCÓLICAS).;Dez;( - ) CUSTOS VARIÁVEIS;CACHAÇA;-R$ 70
Em Set, o grupo '( - ) CUSTOS VARIÁVEIS' registrou um valor de -R$ 23 referente ao item 'REFRIGERANTES' (Subcategoria: BEBIDAS NÃO ALCÓLICAS).;Set;( - ) CUSTOS VARIÁVEIS;REFRIGERANTES;-R$ 23
Em Dez, o grupo '( - ) CUSTOS VARIÁVEIS' registrou um valor de -R$ 220 referente ao item 'REFRIGERANTES' (Subcategoria: BEBIDAS NÃO ALCÓLICAS).;Dez;( - ) CUSTOS VARIÁVEIS;REFRIGERANTES;-R$ 220
Em Nov, o grupo '( - ) CUSTOS VARIÁVEIS' registrou um valor de -R$ 1.767 referente ao item 'REFRIGERANTES' (Subcategoria: BEBIDAS NÃO ALCÓLICAS).;Nov;( - ) CUSTOS VARIÁVEIS;REFRIGERANTES;-R$ 1.767
Em Nov, o grupo '( - ) CUSTOS VARIÁVEIS' registrou um valor de -R$ 26 referente ao item 'AGUAS' (Subcategoria: BEBIDAS NÃO ALCÓLICAS).;Nov;( - ) CUSTOS VARIÁVEIS;AGUAS;-R$ 26
Em Out, o grupo '( - ) CUSTOS VARIÁVEIS' registrou um valor de -R$ 157 referente ao item 'AGUAS' (Subcategoria: BEBIDAS NÃO ALCÓLICAS).;Out;( - ) CUSTOS VARIÁVEIS;AGUAS;-R$ 157
Em Dez, o grupo '( - ) CUSTOS VARIÁVEIS' registrou um valor de -R$ 258 referente ao item 'AGUAS' (Subcategoria: BEBIDAS NÃO ALCÓLICAS).;Dez;( - ) CUSTOS VARIÁVEIS;AGUAS;-R$ 258
Em Set, o grupo '( - ) CUSTOS VARIÁVEIS' registrou um valor de -R$ 4.129 referente ao item 'AGUAS' (Subcategoria: BEBIDAS NÃO ALCÓLICAS).;Set;( - ) CUSTOS VARIÁVEIS;AGUAS;-R$ 4.129
Em Nov, o grupo '( - ) CUSTOS VARIÁVEIS' registrou um valor de -R$ 26 referente ao item 'ENERGETICOS' (Subcategoria: BEBIDAS NÃO ALCÓLICAS).;Nov;( - ) CUSTOS VARIÁVEIS;ENERGETICOS;-R$ 26
Em Set, o grupo '( - ) CUSTOS VARIÁVEIS' registrou um valor de -R$ 65 referente ao item 'ENERGETICOS' (Subcategoria: BEBIDAS NÃO ALCÓLICAS).;Set;( - ) CUSTOS VARIÁVEIS;ENERGETICOS;-R$ 65
Em Out, o grupo '( - ) CUSTOS VARIÁVEIS' registrou um valor de -R$ 78 referente ao item 'ENERGETICOS' (Subcategoria: BEBIDAS NÃO ALCÓLICAS).;Out;( - ) CUSTOS VARIÁVEIS;ENERGETICOS;-R$ 78
Em Set, o grupo '( - ) CUSTOS VARIÁVEIS' registrou um valor de -R$ 30 referente ao item 'CAFES E CHAS' (Subcategoria: BEBIDAS NÃO ALCÓLICAS).;Set;( - ) CUSTOS VARIÁVEIS;CAFES E CHAS;-R$ 30
Em Out, o grupo '( - ) CUSTOS VARIÁVEIS' registrou um valor de -R$ 140 referente ao item 'UTENSILIOS' (Subcategoria: MERCEARIA/DEMAIS INSUMOS).;Out;( - ) CUSTOS VARIÁVEIS;UTENSILIOS;-R$ 140
Em Set, o grupo '( - ) CUSTOS VARIÁVEIS' registrou um valor de -R$ 254 referente ao item 'TEMPEROS E CONDIMENTOS' (Subcategoria: MERCEARIA/DEMAIS INSUMOS).;Set;( - ) CUSTOS VARIÁVEIS;TEMPEROS E CONDIMENTOS;-R$ 254
Em Jun, o grupo '( - ) CUSTOS VARIÁVEIS' registrou um valor de -R$ 39 referente ao item 'MOLHOS' (Subcategoria: MERCEARIA/DEMAIS INSUMOS).;Jun;( - ) CUSTOS VARIÁVEIS;MOLHOS;-R$ 39
Em Nov, o grupo '( - ) CUSTOS VARIÁVEIS' registrou um valor de -R$ 225 referente ao item 'HORTFRUTIGRANJEIROS' (Subcategoria: MERCEARIA/DEMAIS INSUMOS).;Nov;( - ) CUSTOS VARIÁVEIS;HORTFRUTIGRANJEIROS;-R$ 225
Em Mar, o grupo '( - ) CUSTOS VARIÁVEIS' registrou um valor de -R$ 90 referente ao item 'PAES E MASSAS' (Subcategoria: MERCEARIA/DEMAIS INSUMOS).;Mar;( - ) CUSTOS VARIÁVEIS;PAES E MASSAS;-R$ 90
Em Nov, o grupo '( - ) CUSTOS VARIÁVEIS' registrou um valor de -R$ 5.158 referente ao item 'PAES E MASSAS' (Subcategoria: MERCEARIA/DEMAIS INSUMOS).;Nov;( - ) CUSTOS VARIÁVEIS;PAES E MASSAS;-R$ 5.158
Em Out, o grupo '( - ) CUSTOS VARIÁVEIS' registrou um valor de -R$ 63 referente ao item 'DOCES' (Subcategoria: MERCEARIA/DEMAIS INSUMOS).;Out;( - ) CUSTOS VARIÁVEIS;DOCES;-R$ 63
Em Jul, o grupo '( - ) CUSTOS VARIÁVEIS' registrou um valor de -R$ 192 referente ao item 'FARINACEOS/CAFE/ACUCAR' (Subcategoria: MERCEARIA/DEMAIS INSUMOS).;Jul;( - ) CUSTOS VARIÁVEIS;FARINACEOS/CAFE/ACUCAR;-R$ 192
Em Nov, o grupo '( - ) CUSTOS VARIÁVEIS' registrou um valor de -R$ 586 referente ao item 'FARINACEOS/CAFE/ACUCAR' (Subcategoria: MERCEARIA/DEMAIS INSUMOS).;Nov;( - ) CUSTOS VARIÁVEIS;FARINACEOS/CAFE/ACUCAR;-R$ 586
Em Mai, o grupo '( - ) CUSTOS VARIÁVEIS' registrou um valor de -R$ 32 referente ao item 'PETISCOS / PROCESSADOS' (Subcategoria: MERCEARIA/DEMAIS INSUMOS).;Mai;( - ) CUSTOS VARIÁVEIS;PETISCOS / PROCESSADOS;-R$ 32
